Financial Year,Savings,Term Deposits 1-3 yrs,Term Deposits 3-5 yrs,Term Deposits Above 5 yrs
2022-23   ,2.70-3.00,5.30-5.60,5.35-6.10,5.35-5.90
2021-22   ,2.70-3.00,"5.00-5.20
","5.05-5.45
","5.05-5.60
"
2020-21   ,2.70-3.00,4.90-5.30,5.25-5.35,5.25-5.50
2019-20   ,3.00-3.50,5.00-6.20,5.70-6.40,5.70-6.40
2018-19   ,3.50-4.00,6.25-7.25,"6.25-7.25
","6.25-7.25
"
2017-18   ,3.50-4.00,6.40-6.75,6.25-6.70,6.25-6.75
2016-17   ,4,6.75-7.00,"6.50-6.90
","6.50-6.75
"
2015-16   ,4,7.25-7.50,7.00-7.50,7.00-7.30
2014-15   ,4,8.50-8.75,8.50-8.75,8.25-8.50
2013-14   ,4,8.75-9.25,8.75-9.10,8.50-9.10
2012-13   ,4,8.75-9.00,8.75-9.00,8.50-9.00
2011-12   ,4,"9.00-9.25
",9.00-9.25,8.50-9.25
2010-11   ,3.5,8.25-9.00,8.25-8.75,8.50-8.75
2009-10   ,3.5,6.00-7.00,6.50-7.50,7.00-7.75
2008-09   ,3.5,8.00-8.75,8.00-8.50,7.75-8.50
2007-08   ,3.5,8.00-8.75,8.00-8.75,8.50-9.00
2006-07   ,3.5,6.75-8.50,7.75-9.50,7.75-8.50
2005-06   ,3.5,6.00-6.75,6.25-7.00,6.50-7.00
2004-05   ,3.5,5.25-5.75,5.75-6.25,6.25
2003-04   ,3.5,4.00-5.25,5.25-5.50,5.25-5.50
2002-03   ,3.5,4.25-6.00,5.50-6.25,5.50-6.25
2001-02   ,4,7.50-8.50,8.00-8.50,8.00-8.50
2000-01   ,4,8.50-9.50,9.50-10.00,8.50-10.00
