Year,Small Coins,Re. 1 Notes,Re. 1 Coins,Rs. 2 Coins,Rs. 5 Coins,Rs. 10 Coins,Re. 20 Coins,Rs. 2 Notes,Rs. 5 Notes,Rs. 10 Notes,Rs. 20 Notes,Rs. 50 Notes,Rs. 100 Notes,Rs. 200 Notes,Rs. 500 Notes,Rs. 1000 Notes,Rs. 2000 Notes
2021-22   ,700,382,4777,6816,9217,5404,674,853,3431,27805,22026,43571,181421,120881,2277340,-,428394
2020-21   ,700,377,4749,6757,8968,5139,179,853,3454,29368,18116,43762,190555,116608,1933951,-,490195
2019-20   ,700,370,4719,6703,8800,5013,-,853,3478,30402,16599,43004,199021,107293,1472373,,547952
2018-19   ,700,359,4673,6631,8576,4905,-,853,3519,31260,17425,43007,200738,80010,1075881,,658199
2017-18   ,700,343,4963,6571,8324,5049,-,853,3580,30645,20032,36715,222149,37053,773429,6610,672642
2016-17   ,700,321,4514,6411,7891,5204,-,853,3645,36929,20315,35564,252801,-,294098,8925,657063
2015-16   ,700,309,4178,5926,7045,3703,-,853,3680,32015,9847,19450,157783,-,785375,632568,-
2014-15   ,700,299,3863,5407,6380,2750,-,854,3702,30304,8699,17436,150265,-,656391,561245,-
2013-14   ,700,299,3842,4965,5789,2017,-,851,3714,26648,8569,17242,147646,-,570248,508137,-
2012-13   ,700,299,3289,4423,5338,1267,-,851,3687,25168,7650,17305,144210,-,535950,429900,-
2011-12   ,739,299,3142,3640,4990,648,-,851,3643,23002,7020,17438,141188,-,512807,346881,-
2010-11   ,1458,299,2968,3068,4535,300,-,851,3430,21288,6040,15980,140243,-,445311,302713,-
2009-10   ,1455,299,2647,2640,3880,149,-,698,2233,18536,4681,21057,138364,-,364479,238252,-
2008-09   ,1455,300,2396,2236,3570,-,-,665,2271,12222,4399,24440,137028,-,308304,191784,-
2007-08   ,1455,300,2214,1907,3249,-,-,636,2111,9333,4108,26508,134575,-,263108,141219,-
2006-07   ,1364,301,2029,1488,2880,-,-,447,1887,7155,4178,27951,135444,-,225400,93676,-
2005-06   ,1358,299,1894,1365,2735,-,-,451,1980,6274,4077,27842,134637,-,182332,64346,-
2004-05   ,1353,299,1790,1290,2619,-,-,462,2086,6770,3876,29941,123282,-,152728,42082,-
2003-04   ,1353,299,1757,1255,2535,-,-,472,2276,7750,4383,33027,121442,-,122938,27473,-
2002-03   ,1346,305,1692,1210,2419,-,-,483,1739,9088,3425,35191,115386,-,93813,15971,-
2001-02   ,1328,308,1547,1062,2025,-,-,538,1264,11989,1531,35601,118041,-,68512,7179,-
2000-01   ,1300,307,1393,814,1544,-,-,471,1016,12336,1012,32818,108141,-,52947,3719,-
1999-00   ,1188,308,1260,672,1164,-,-,512,1152,13282,1010,33230,85831,-,57250,-,-
1998-99   ,1116,316,1076,497,856,-,-,530,1290,12990,899,33316,78197,-,44827,-,-
1997-98   ,1055,319,969,352,672,-,-,550,1427,12412,979,34245,70159,-,27975,-,-
1996-97   ,991,316,900,286,440,-,-,527,1554,11063,703,33623,62600,-,24270,-,-
1995-96   ,940,322,848,226,183,-,-,515,1651,9218,718,31659,55105,-,20873,-,-
1994-95   ,881,320,795,159,115,-,-,602,1765,6943,1120,28537,46457,-,16882,-,-
1993-94   ,829,328,705,85,58,-,-,624,1860,5334,1631,24991,37784,-,11303,-,-
1992-93   ,780,-,-,37,5,-,-,720,2022,4285,2340,22577,32663,-,4910,-,-
1991-92   ,729,-,-,10,-,-,-,942,2400,5202,2743,17719,32266,-,1854,-,-
1990-91   ,685,335,616,23,-,-,-,883,1810,3785,2952,14812,24570,-,2177,-,-
1989-90   ,640,348,583,-,20,-,-,804,1739,3515,3100,12553,23778,-,1257,-,-
1988-89   ,539,360,547,-,-,-,-,681,1482,2996,2613,9459,21208,-,230,-,-
1987-88   ,498,352,501,-,-,-,-,653,1429,2825,2331,7267,19077,-,180,-,-
1986-87   ,439,301,423,-,17,-,-,683,1287,2510,1899,5247,17116,-,-,-,-
1985-86   ,366,238,308,-,20,-,-,650,1303,2536,1784,4310,15018,-,-,-,-
1984-85   ,307,204,237,-,-,-,-,580,1234,2217,1636,3920,13904,-,-,-,-
1983-84   ,290,198,303,-,-,-,-,450,560,1770,1463,3626,11690,-,-,-,-
1982-83   ,277,205,172,-,-,-,-,431,807,1798,1433,3017,9777,-,-,-,-
1981-82   ,263,212,154,-,-,-,-,392,692,1991,1214,2724,7829,-,-,-,-
1980-81   ,243,207,141,-,-,-,-,299,634,2097,1090,2206,7406,-,-,-,-
1979-80   ,-,214,126,-,-,-,-,215,588,2123,961,1983,5951,-,-,-,-
1978-79   ,-,256,110,-,-,-,-,174,576,1957,779,1440,5369,-,-,-,-
1977-78   ,-,272,96,-,-,-,-,148,572,1825,690,995,4302,-,-,55,-
1976-77   ,-,274,75,-,-,-,-,127,540,1967,555,734,3726,-,-,105,-
1975-76   ,-,293,53,-,-,-,-,116,532,1880,425,86,3422,-,-,88,-
1974-75   ,-,290,46,-,-,-,-,56,433,1962,415,-,3285,-,-,35,-
1973-74   ,-,283,46,-,-,-,-,83,412,1980,382,-,3216,-,-,35,-
1972-73   ,-,260,45,-,-,-,-,70,371,1757,152,-,2848,-,-,43,-
1971-72   ,-,234,43,-,-,-,-,66,325,1713,-,-,2482,-,-,36,-
1970-71   ,-,219,43,-,-,-,-,69,310,1563,-,-,2210,-,-,45,-
